Meal,Preperation Time,Cooking Time,Calories,Fat,Cholesterol,Carbs,Fiber,Protein,Lookup Ingredients,new_ingredients,modified_ingredients
Breakfast,5.0,7.0,429,20.0,4.0,31.0,6.0,28.0,"['parsley', 'oil', 'eggs', 'tomatoes', 'mushrooms', 'oats', 'water']",parsley oil eggs tomatoes mushrooms oats water,parsley oil egg tomato mushroom oat water
Breakfast,2.0,0.0,156,3.0,2.0,25.0,2.0,4.0,"['honey', 'strawberries', 'milk', 'oats', 'blueberries', 'mango', 'extract']",honey strawberries milk oats blueberries mango extract,honey strawberry milk oat blueberry mango extract
Breakfast,5.0,10.0,366,21.0,4.0,26.0,5.0,16.0,"['chipotle', 'oil', 'kale', 'tomatoes', 'avocado']",chipotle oil kale tomatoes avocado,chipotle oil kale tomato avocado
Breakfast,5.0,5.0,503,30.0,7.0,35.0,5.0,20.0,"['cheese', 'leaves', 'oil', 'coriander', 'naan', 'eggs', 'lime', 'avocado', 'mango']",cheese leaves oil coriander naan eggs lime avocado mango,cheese leaf oil coriander naan egg lime avocado mango
Breakfast,10.0,15.0,86,3.0,0.3,13.0,2.0,2.0,"['almonds', 'cinnamon', 'bananas', 'oats', 'raspberries']",almonds cinnamon bananas oats raspberries,almond cinnamon banana oat raspberry
Breakfast,15.0,40.0,872,39.0,17.0,91.0,7.0,36.0,"['baguette', 'leaves', 'oil', 'ginger', 'chorizo', 'sugar', 'coriander', 'lime', 'red', 'tomatoes', 'anise', 'avocado']",baguette leaves oil ginger chorizo sugar coriander lime red tomatoes anise avocado,baguette leaf oil ginger chorizo sugar coriander lime red tomato anise avocado
Breakfast,40.0,45.0,577,31.0,10.0,57.0,8.0,31.0,"['chipotle', 'butter', 'oil', 'beans', 'sugar', 'coriander', 'cumin', 'eggs', 'sauce', 'passata', 'lime', 'red', 'tomatoes', 'mushrooms', 'sausages']",chipotle butter oil beans sugar coriander cumin eggs sauce passata lime red tomatoes mushrooms sausages,chipotle butter oil bean sugar coriander cumin egg sauce passata lime red tomato mushroom sausage
Breakfast,5.0,0.0,201,5.0,3.0,31.0,2.0,7.0,"['honey', 'kefir', 'orange', 'ginger', 'mango']",honey kefir orange ginger mango,honey kefir orange ginger mango
Breakfast,5.0,40.0,205,6.0,0.4,33.0,3.0,4.0,"['fruit', 'oil', 'sugar', 'muesli', 'extra', 'bananas']",fruit oil sugar muesli extra bananas,fruit oil sugar muesli extra banana
Breakfast,25.0,25.0,224,9.0,1.0,30.0,2.0,4.0,"['butter', 'oil', 'muesli', 'sugar', 'pecans', 'milk', 'flour']",butter oil muesli sugar pecans milk flour,butter oil muesli sugar pecan milk flour
Breakfast,15.0,360.0,165,8.0,2.0,13.0,3.0,9.0,"['parsley', 'oil', 'eggs', 'sourdough', 'onions', 'red', 'tomatoes', 'milk']",parsley oil eggs sourdough onions red tomatoes milk,parsley oil egg sourdough onion red tomato milk
Breakfast,8.0,20.0,346,13.0,5.0,40.0,10.0,12.0,"['oats', 'oil', 'strawberries', 'seeds', 'juice', 'milk', 'flour', 'extract']",oats oil strawberries seeds juice milk flour extract,oat oil strawberry seed juice milk flour extract
Breakfast,30.0,300.0,149,3.0,0.5,21.0,5.0,6.0,"['oil', 'garlic', 'sugar', 'beans', 'coriander', 'passata', 'red']",oil garlic sugar beans coriander passata red,oil garlic sugar bean coriander passata red
Breakfast,15.0,30.0,179,7.0,1.0,23.0,3.0,5.0,"['honey', 'oil', 'extra', 'pumpkin', 'eggs', 'sauce', 'soda', 'cinnamon', 'oats', 'flour', 'extract']",honey oil extra pumpkin eggs sauce soda cinnamon oats flour extract,honey oil extra pumpkin egg sauce soda cinnamon oat flour extract
Breakfast,5.0,0.0,391,12.0,5.0,50.0,10.0,15.0,"['honey', 'berries', 'seeds', 'cinnamon', 'milk', 'blueberries']",honey berries seeds cinnamon milk blueberries,honey berry seed cinnamon milk blueberry
Breakfast,5.0,20.0,686,34.0,9.0,5.0,4.0,87.0,"['spinach', 'steak', 'oil', 'fat', 'tomatoes', 'mushrooms', 'bacon']",spinach steak oil fat tomatoes mushrooms bacon,spinach steak oil fat tomato mushroom bacon
Breakfast,25.0,35.0,520,36.0,15.0,34.0,2.0,14.0,"['other', 'sugar', 'extra', 'eggs', 'brioche', 'syrup', 'milk', 'cream', 'blueberries', 'bacon', 'extract']",other sugar extra eggs brioche syrup milk cream blueberries bacon extract,other sugar extra egg brioche syrup milk cream blueberry bacon extract
